run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
io6fpkaq,Climber_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-57-33,Climber,6,1000.0,0.0,0.0
d38rl7i7,Climber_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-57-45,Climber,7,1000.0,1.0,0.001
3cm02ru5,Climber_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-57-56,Climber,8,1000.0,0.0,0.0
3mq09mka,Climber_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-58-08,Climber,9,334.0,12.0,0.03592814371257485
3aulzr3w,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-04-01_15-33-10,CoinRun,0,1000.0,0.0,0.0
pgpov5t5,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-04-01_15-33-22,CoinRun,1,1000.0,0.0,0.0
nqnz0vn2,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-04-01_15-33-34,CoinRun,2,1000.0,0.0,0.0
6ug61815,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-04-01_15-33-45,CoinRun,3,1000.0,0.0,0.0
nh19caly,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-04-01_15-33-57,CoinRun,4,1000.0,0.0,0.0
hhkh1zgu,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-04-01_15-34-09,CoinRun,5,42.0,0.0,0.0
vr8qv3zt,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-04-01_15-34-17,CoinRun,6,1000.0,0.0,0.0
rpkio071,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-04-01_15-34-28,CoinRun,7,1000.0,0.0,0.0
gb0s1la8,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-04-01_15-34-40,CoinRun,8,1000.0,0.0,0.0
783vclcc,CoinRun_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-04-01_15-34-52,CoinRun,9,518.0,0.0,0.0
xrhslr6d,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-43-04,Dodgeball,0,733.0,0.0,0.0
rtgw428b,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-43-17,Dodgeball,1,18.0,0.0,0.0
qk1foc32,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-43-25,Dodgeball,2,12.0,0.0,0.0
3iql0kn6,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-43-32,Dodgeball,3,1.0,0.0,0.0
dasjwyqk,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-43-40,Dodgeball,4,89.0,0.0,0.0
