mode,planning_steps,threshold,inner_steps,reward_mean,reward_std,ep_length_mean,ep_length_std,num_planning_steps_mean,num_planning_steps_std,meta_depth_1_mean,meta_depth_2_mean,meta_depth_3_mean,meta_depth_4_mean,meta_depth_1_std,meta_depth_2_std,meta_depth_3_std,meta_depth_4_std
reward,15,1.5,0,87.0,3.265986323710904,1451.3333333333333,58.48266599790251,43.666666666666664,6.944222218666553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,1.5,1,87.33333333333333,5.557777333511022,1509.6666666666667,83.30399483551527,49.0,8.16496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,1.5,2,87.0,5.0990195135927845,1512.6666666666667,78.0185163207356,49.0,8.16496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,1.5,5,86.33333333333333,6.18241233033047,1512.3333333333333,81.73670466130187,49.0,8.16496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,1.0,0,84.66666666666667,7.93025150224688,1584.6666666666667,191.4755568966673,199.66666666666666,14.83988619303471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,15,1.0,1,87.0,4.96655480858378,1622.0,137.42149273918787,222.66666666666666,27.7648858972784,6.333333333333333,0.6666666666666666,0.0,0.0,1.8856180831641267,0.4714045207910317,0.0,0.0
reward,15,1.0,2,87.0,4.96655480858378,1620.0,135.94361576281054,222.66666666666666,27.7648858972784,5.333333333333333,0.3333333333333333,0.0,0.0,1.247219128924647,0.4714045207910317,0.0,0.0
reward,15,1.0,5,87.66666666666667,5.436502143433363,1623.0,136.94767857348538,222.66666666666666,27.7648858972784,6.666666666666667,0.3333333333333333,0.0,0.0,0.9428090415820634,0.4714045207910317,0.0,0.0
reward,20,2.0,0,88.66666666666667,3.2998316455372216,1520.3333333333333,27.824849006278942,6.333333333333333,3.39934634239519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,2.0,1,92.0,2.160246899469287,1418.6666666666667,27.13341523329163,4.666666666666667,2.494438257849294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,2.0,2,91.33333333333333,2.357022603955158,1416.6666666666667,26.449112566503164,4.666666666666667,2.494438257849294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,2.0,5,91.66666666666667,2.6246692913372702,1420.6666666666667,27.18251071716682,4.666666666666667,2.494438257849294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,1.5,0,88.33333333333333,3.681787005729087,1443.6666666666667,84.85805140874312,44.666666666666664,7.363574011458175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,1.5,1,90.33333333333333,4.496912521077347,1461.0,38.99572626156188,53.0,5.887840577551898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,1.5,2,90.33333333333333,5.2493385826745405,1461.0,37.58545818087983,53.0,5.887840577551898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,1.5,5,90.0,4.96655480858378,1461.3333333333333,38.5256047612782,53.0,5.887840577551898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,1.0,0,84.66666666666667,9.177266598624136,1642.3333333333333,114.3134093427169,236.0,21.354156504062622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,20,1.0,1,85.0,4.242640687119285,1658.6666666666667,33.559234529741914,221.33333333333334,8.65383665716478,13.0,0.6666666666666666,0.0,0.0,3.265986323710904,0.4714045207910317,0.0,0.0
reward,20,1.0,2,85.0,4.242640687119285,1657.6666666666667,33.10924677823738,221.33333333333334,8.65383665716478,11.666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.699673171197595,0.4714045207910317,0.0,0.4714045207910317
reward,20,1.0,5,84.66666666666667,3.7712361663282534,1659.0,36.368484525295614,221.33333333333334,8.65383665716478,10.333333333333334,0.6666666666666666,0.0,0.0,2.8674417556808756,0.4714045207910317,0.0,0.0
value,0,2.0,0,87.66666666666667,5.436502143433363,1514.6666666666667,134.33870956983654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,0,2.0,1,,,,,,,,,,,,,,
value,0,2.0,2,,,,,,,,,,,,,,
value,0,2.0,5,,,,,,,,,,,,,,
value,0,1.5,0,,,,,,,,,,,,,,
value,0,1.5,1,,,,,,,,,,,,,,
value,0,1.5,2,,,,,,,,,,,,,,
value,0,1.5,5,,,,,,,,,,,,,,
value,0,1.0,0,,,,,,,,,,,,,,
value,0,1.0,1,,,,,,,,,,,,,,
value,0,1.0,2,,,,,,,,,,,,,,
value,0,1.0,5,,,,,,,,,,,,,,
value,1,2.0,0,88.66666666666667,3.39934634239519,1519.0,53.54126134736337,5.666666666666667,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
