mode,planning_steps,threshold,inner_steps,mean,std
reward,15,1.5,0,87.66666666666667,3.681787005729087
reward,15,1.5,1,87.33333333333333,3.2998316455372216
reward,15,1.5,2,87.33333333333333,2.8674417556808756
reward,15,1.5,5,87.33333333333333,3.681787005729087
reward,15,1.0,0,85.33333333333333,7.586537784494029
reward,15,1.0,1,84.33333333333333,8.379870059984357
reward,15,1.0,2,85.0,8.286535263104035
reward,15,1.0,5,85.0,8.04155872120988
reward,20,2.0,0,88.66666666666667,2.8674417556808756
reward,20,2.0,1,88.33333333333333,2.8674417556808756
reward,20,2.0,2,89.0,2.449489742783178
reward,20,2.0,5,89.0,2.449489742783178
reward,20,1.5,0,88.33333333333333,2.8674417556808756
reward,20,1.5,1,87.66666666666667,3.2998316455372216
reward,20,1.5,2,88.33333333333333,3.39934634239519
reward,20,1.5,5,88.33333333333333,3.681787005729087
reward,20,1.0,0,83.33333333333333,9.285592184789413
reward,20,1.0,1,83.33333333333333,9.285592184789413
reward,20,1.0,2,84.0,9.092121131323903
reward,20,1.0,5,84.33333333333333,8.73053390247253
value,0,2.0,0,87.33333333333333,5.90668171555645
value,0,2.0,1,,
value,0,2.0,2,,
value,0,2.0,5,,
value,0,1.5,0,,
value,0,1.5,1,,
value,0,1.5,2,,
value,0,1.5,5,,
value,0,1.0,0,,
value,0,1.0,1,,
value,0,1.0,2,,
value,0,1.0,5,,
value,1,2.0,0,88.33333333333333,3.0912061651652345
value,1,2.0,1,89.33333333333333,3.858612300930075
value,1,2.0,2,88.66666666666667,3.39934634239519
value,1,2.0,5,89.33333333333333,3.858612300930075
value,1,1.5,0,92.0,3.7416573867739413
value,1,1.5,1,92.33333333333333,3.681787005729087
value,1,1.5,2,91.66666666666667,3.2998316455372216
value,1,1.5,5,92.0,3.265986323710904
value,1,1.0,0,91.33333333333333,3.681787005729087
value,1,1.0,1,91.33333333333333,3.681787005729087
value,1,1.0,2,91.0,3.265986323710904
value,1,1.0,5,91.33333333333333,2.8674417556808756
value,2,2.0,0,84.33333333333333,6.649979114420002
value,2,2.0,1,84.33333333333333,6.649979114420002
value,2,2.0,2,84.0,6.377042156569663
value,2,2.0,5,84.33333333333333,6.599663291074444
value,2,1.5,0,82.33333333333333,2.6246692913372702
value,2,1.5,1,81.66666666666667,3.0912061651652345
value,2,1.5,2,82.0,2.8284271247461903
value,2,1.5,5,82.66666666666667,3.0912061651652345
value,2,1.0,0,87.66666666666667,4.988876515698588
